,Unnamed: 0.1.1,author,review,rating,date,scores_vader,compound_vader,score_vader,polarity_textblob,subjectivity_textblob,score_textblob
143,287,Colin Horton,"Having used all the other music apps without naming them ...Apple music app is far from the rest . A really good music app best i have used . Adds to your library instant songs , Even lets you see the lyrics of the songs . Very well thought out and runs 100 per cent nice on my samsung . Well done ap...\nFull Review",Rated 5 stars out of five stars,06-Feb-20,"{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.9285}",0.9285,Positive,0.353571429,0.605952381,Positive
144,289,Nikita Popov,"It\s getting worse with each update. UI becomes better, but UX goes to hell. Have you ever tried to use your widget? Why song starts again each time I pause it and then press play again? Why I can\t open downloaded album when internet is turned off (I know I can longpress its cover and then press ...\nFull Review",Rated 2 stars out of five stars,09-Feb-20,"{'neg': 0.134, 'neu': 0.79, 'pos': 0.077, 'compound': -0.6966}",-0.6966,Negative,0.033333333,0.533333333,Positive
145,291,Andrey Lezov,"IMO, just a big music library (its great) with music player. But not a modern, music recommendation service. 3 type of mix: New, Favourite, Chill, that updated ONCE a week. And pure recommendation based on genre, artist, songs, albums. Really, it sucks. In 90% situations I used it only for artist /...\nFull Review",Rated 1 stars out of five stars,12-Feb-20,"{'neg': 0.056, 'neu': 0.944, 'pos': 0.0, 'compound': -0.4173}",-0.4173,Negative,0.107235622,0.486363636,Positive
146,293,Cody Guevara,"After update: When searching a band (to stream) it shows the top songs, when I select See All to play all of their music....it only plays the song I selected, no option to skip track, shuffle, or anything. And when the song is done it just replays it without resetting the timer. Was on the phone wit...\nFull Review",Rated 2 stars out of five stars,11-Feb-20,"{'neg': 0.037, 'neu': 0.859, 'pos': 0.104, 'compound': 0.4588}",0.4588,Positive,0.25,0.75,Positive
147,295,mustang19898,"Questionable subscription plan. I mainly got this so I could listen to my songs, that Ive ALREADY BOUGHT on iTunes, on my phone. But I have to pay monthly to listen to songs I already bought? I dont like it. I understand the subscription for streaming music or downloading or something. But I just ...\nFull Review",Rated 2 stars out of five stars,14-Feb-20,"{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.5733}",-0.5733,Negative,-0.166666667,0.666666667,Negative
148,297,Eric Stewart,This app has come a long way from its humble beginnings. The addition of dark mode has been a godsend. The main feature missing keeping Apple Music from completely overtaking Spotify (imo) is gapless playback. Its pretty ridiculous to not have this in 2020. Please add this to Android and you will h...\nFull Review,Rated 3 stars out of five stars,29-Feb-20,"{'neg': 0.077, 'neu': 0.77, 'pos': 0.152, 'compound': 0.6808}",0.6808,Positive,-0.052083333,0.497916667,Negative
149,299,Gaurav Dhiwar,App is good but somemetimes songs get skipped automatically even though they are downloaded. Please fix this! Please make Shuffle and Repeat buttons more prominent. It will be great if they are appearing on the front of the player. Otherwise app is working good. Thank you.,Rated 4 stars out of five stars,16-Mar-20,"{'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.9758}",0.9758,Positive,0.675,0.69,Positive
150,301,Terence Scarborough,Very pleased with paying one low set amount for unlimited song downloads in stead of outrageous prices per each song. It really has saved me thousands of dollars per month. No issues at all with any part of the app. Definitely pleased with the changes made by apple/iTunes.,Rated 4 stars out of five stars,19-Mar-20,"{'neg': 0.121, 'neu': 0.678, 'pos': 0.201, 'compound': 0.7063}",0.7063,Positive,0.07,0.7,Positive
151,303,Siddhant Tiwari,"Has Everthing you can ask a music app to do. With the Apple Music subscription, its one of the best music player. It syncs effortlessly with my Macbook, and other Apple devices. In short I Love it!! Thank You Apple for launching Apple Services like Music to Android. Looking forward for TV and others...\nFull Review",Rated 5 stars out of five stars,31-Mar-20,"{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0.9323}",0.9323,Positive,0.4140625,0.39375,Positive
152,305,Avi,Actually Apple music freezes in between all the time. Please it needs some UI optimization.,Rated 4 stars out of five stars,06-Apr-20,"{'neg': 0.061, 'neu': 0.667, 'pos': 0.272, 'compound': 0.5859}",0.5859,Positive,0,0.1,Negative
153,307,Ian Dawson,When is gapless playback finally going to be introduced? This app is seriously lagging behind its iOS counterpart & most other streaming platforms in this respect.,Rated 1 stars out of five stars,04-Apr-20,"{'neg': 0.129, 'neu': 0.748, 'pos': 0.123, 'compound': 0.2083}",0.2083,Positive,-0.071666667,0.648333333,Negative
154,309,J Du,Home computer tries to make me upgrade saying another device is playing when all my other devices are off. There is also no way to edit a playlist/remove songs from a playlist in the mobile app. Removing a song from your library does not change the playlist. Please consider those who use a playlis...\nFull Review,Rated 2 stars out of five stars,27-Feb-20,"{'neg': 0.041, 'neu': 0.884, 'pos': 0.076, 'compound': 0.2263}",0.2263,Positive,-0.1125,0.3875,Negative
155,311,killerjhul,Id give this app a 5 stars but I cant. There are so many regional restrictions with music purchases/streaming that other service do not adhere to or have simply acquired the licenses required to share/stream/broadcast music. Thats beef #1. Beef #2 is that the lyrics to songs are often wrong by a ...\nFull Review,Rated 3 stars out of five stars,09-Mar-20,"{'neg': 0.078, 'neu': 0.922, 'pos': 0.0, 'compound': -0.631}",-0.631,Negative,-0.03125,0.533035714,Negative
156,313,Collin Rushing,"I have a Google Pixel 3a XL, and this app worked fine just a few days ago, now everytime I open the app it closes after about 5 to 10 seconds, it wont let me listen to music or do anything anymore.",Rated 1 stars out of five stars,18-Mar-20,"{'neg': 0.0, 'neu': 0.952, 'pos': 0.048, 'compound': 0.2023}",0.2023,Positive,0.072222222,0.366666667,Positive
157,315,Victor Popa,"By far the best music app, easy to use and... THE ONLY ONE that allows you to delete a song from the entire library instead of going into each playlist (in case you have added a song to a few) which saves me from having doubles of same songs (from Ep, and different versions of an album).",Rated 5 stars out of five stars,30-Mar-20,"{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.7964}",0.7964,Positive,0.166666667,0.572916667,Positive
158,317,Cindy Lui,"I switched my phone from iPhone to Samsung so I downloaded this app on Android, but the layout is not as neat as the ios one. And when I tryna browse the songs from the list, it is arranged in alphabetical order, but for the Chinese words it just sucks and the app is not able to change the language.",Rated 3 stars out of five stars,31-Mar-20,"{'neg': 0.105, 'neu': 0.895, 'pos': 0.0, 'compound': -0.7558}",-0.7558,Negative,-0.183333333,0.308333333,Negative
159,319,jalex bakarth,App crashes every time I try to edit a playlist. Cant get music from iTunes onto Apple Music and a lot of it is not available in your province or country even though I own it on CD and have it in my library. Almost worth switching to Spotify if I didnt have such an expansive iTunes list and no a...\nFull Review,Rated 1 stars out of five stars,13-Feb-20,"{'neg': 0.037, 'neu': 0.935, 'pos': 0.027, 'compound': -0.1513}",-0.1513,Negative,0.175,0.5,Positive
